Source,area,short names,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
FAOSTAT_3,PER,total_fertilizers,,,,,,,,,,,,306551,315614,329912,301513,339974,403256,298483,385209,365693,408016,391703.26,398145.49,405622.92,445795.52,447971.15,539478.77
FAOSTAT_3,PHL,total_fertilizers,,,,,,,,,,,,722292,858660,818410,761538,714283,842740,572103,667949,802608,789494,660400,871341.47,879550.67,784234.74,890862.28,961487.78
FAOSTAT_3,PNG,total_fertilizers,,,,,,,,,,,,35006,88544,17670,17138,14722,18962,21211,31156,32845,25643,32240.64,29629.6,32601.46,31399.1,33616.09,36981.61
FAOSTAT_3,POL,total_fertilizers,,,,,,,,,,,,1511700,1622100,1628400,1966100,1970700,2142000,1899400,1771300,1954400,1883800,1943400,1935300,1792200,1895400,2049800,2077000
FAOSTAT_3,PRT,total_fertilizers,,,,,,,,,,,,312593,271097,320180,264697,170194,233558,189729,142395,170939,149303,169540,190802,209786.23,198721.74,187811.98,186648.17
FAOSTAT_3,PRY,total_fertilizers,,,,,,,,,,,,153168,217265,264282,227540,258160,343292,280663,252170,340284,420330,367225.33,435359.34,505248.8,468464.92,529677.93,543456.16
FAOSTAT_3,QAT,total_fertilizers,,,,,,,,,,,,511,0,49353,7349,0,70380,3600,38300,85480,144260,92280,91080,96600,96600,96600,96600
FAOSTAT_3,ROU,total_fertilizers,,,,,,,,,,,,326123,362260,380004,461392,362884,387216,397985,426207,480588,486944,437972,491831,452239,532702,514126,514126
FAOSTAT_3,RUS,total_fertilizers,,,,,,,,,,,,1166175,1348580,1394880,1436120,1517330,1732810,1932120,1901990,1912870,1969160,1877480,1861020,1934280,2026990,2273277,2472910
FAOSTAT_3,RWA,total_fertilizers,,,,,,,,,,,,0,2449,2035,3400,3886,8824,10753,1444,94,114,5834.28,13211.29,14500.05,22697.35,12504.58,12504.58
FAOSTAT_3,SAU,total_fertilizers,,,,,,,,,,,,365500,382200,399000,335700,366000,394500,231000,210000,200000,200500,192000,276600,273100,318400,319400,319400
FAOSTAT_3,SDN,total_fertilizers,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,66081.06,51831.07,83269.68,89844.79,191260.15,172526.32
FAOSTAT_3,SEN,total_fertilizers,,,,,,,,,,,,35973,32072,37970,30842,6548,6116,8337,24404,31169,22531,34730,39620,37570,52210,53369.47,55949.66
FAOSTAT_3,SGP,total_fertilizers,,,,,,,,,,,,3837.38,12286.24,13631.28,13679.26,16227.68,13777.56,15184.71,12535.05,29500.47,25532.15,8946.94,8233.96,589.75,18517.48,16877.28,22532.66
FAOSTAT_3,SLV,total_fertilizers,,,,,,,,,,,,49432,53245,60168,91682,65699,96144,87355,79544,120706,129068,102030.79,102845.16,69003.25,81909.18,69330.02,86293.68
FAOSTAT_3,SRB,total_fertilizers,,,,,,,,,,,,0,0,0,0,389505,506908,378267,473344,383451,417812,568716.74,514672.74,393257.56,412927.25,568648.42,530416.67
FAOSTAT_3,SUR,total_fertilizers,,,,,,,,,,,,4148,5998,7475,5212,8983,6874,25787,9181,11656,11965,9826.12,10250.39,12674.49,13412.78,14151.06,15079.72
FAOSTAT_3,SVK,total_fertilizers,,,,,,,,,,,,117180,111554,116548,111981,126475,123862,103766,108224,118409,133468,148864,148864,158318,152538,169402,163425.46
FAOSTAT_3,SVN,total_fertilizers,,,,,,,,,,,,67784,69250,63131,58001,57317,56792,51326,43084,49206,47287,45995,47003,48417,49278,47614,47279.56
FAOSTAT_3,SWE,total_fertilizers,,,,,,,,,,,,267400,261900,259900,236800,229100,236100,260400,168600,214869,222403,197728,219183,240173,249544,248027.81,264551.57
FAOSTAT_3,SYC,total_fertilizers,,,,,,,,,,,,0,24,11,34,11,30,34,52,29,45,73.5,51.25,50.56,122.54,78.26,96.9
FAOSTAT_3,SYR,total_fertilizers,,,,,,,,,,,,313944,350800,348123,397122,394807,381937,413465,305520,154750,231804,141080.41,63209.35,30251.19,27194.61,19314.79,11574.09
FAOSTAT_3,TGO,total_fertilizers,,,,,,,,,,,,12285,17599,7889,20336,11508,14512,1,14788,22046,25099,13929.71,55632.8,1558.42,26508.14,29219.23,15873.17
